0,1,2,3,4,5,6,7,8,9
306.0,305.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,305.0,,,,,,,,
306.0,305.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,305.0,330.0,0.0,0.0,,,,,
306.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,305.0,330.0,0.0,0.0,,,,,
306.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,305.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,306.0,330.0,0.0,0.0,0.0,0.0,,,
0.0,0.0,306.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0
306.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,306.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,,
307.0,306.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,306.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,306.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,306.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,
307.0,306.0,331.0,0.0,0.0,0.0,0.0,0.0,,
307.0,306.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,306.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,306.0,331.0,0.0,0.0,0.0,,,,
307.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,306.0,330.0,0.0,0.0,,,,,
307.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,305.0,330.0,0.0,,,,,,
307.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,305.0,,,,,,,,
307.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,305.0,330.0,0.0,,,,,,
307.0,304.0,330.0,,,,,,,
307.0,304.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,305.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,305.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,,,,,,,,,
